iter	RMSE
0	14.78604528
1	14.40395414
2	14.05102062
3	13.70906839
4	13.37155502
5	13.08405072
6	12.78110554
7	12.51975344
8	12.26647729
9	11.97504229
10	11.70071734
11	11.44712555
12	11.23145984
13	10.98275874
14	10.73736169
15	10.50087037
16	10.27921372
17	10.07577132
18	9.87387459
19	9.67423866
20	9.513764933
21	9.337089651
22	9.158545519
23	8.988992117
24	8.827718791
25	8.691633536
26	8.543460081
27	8.408076369
28	8.278908929
29	8.159982123
30	8.057912704
31	7.942129792
32	7.83740037
33	7.742052936
34	7.637995467
35	7.54235847
36	7.450243222
37	7.370410694
38	7.275807473
39	7.197299547
40	7.133656808
41	7.056510462
42	6.98358641
43	6.919780592
44	6.851922863
45	6.788989139
46	6.725773988
47	6.668067064
48	6.610073817
49	6.560352922
50	6.509238005
51	6.455479689
52	6.407499603
53	6.361766574
54	6.317209733
55	6.27891295
56	6.238654462
57	6.20094049
58	6.16504645
59	6.126497759
60	6.091825815
61	6.054455227
62	6.018804088
63	5.983643784
64	5.952848498
65	5.926825375
66	5.89874685
67	5.872920681
68	5.854194021
69	5.830093176
70	5.802868343
71	5.783149843
72	5.761243895
73	5.738900636
74	5.717307222
75	5.69454911
76	5.676559102
77	5.658501755
78	5.640802486
79	5.620335944
80	5.608669205
81	5.590970988
82	5.577838549
83	5.559669393
84	5.545762562
85	5.528898449
86	5.517951001
87	5.505569914
88	5.492763716
89	5.478876224
90	5.464513623
91	5.453543818
92	5.44395041
93	5.434222727
94	5.424085589
95	5.415435157
96	5.406439808
97	5.400776193
98	5.393209075
99	5.381108756
100	5.370347411
101	5.363074082
102	5.351020373
103	5.343149696
104	5.336796975
105	5.328414233
106	5.319518514
107	5.308863416
108	5.300154616
109	5.292506215
110	5.282846658
111	5.276166879
112	5.270993301
113	5.263987583
114	5.259363245
115	5.254877027
116	5.25101171
117	5.241850674
118	5.234138627
119	5.225476637
120	5.22006052
121	5.215879187
122	5.211107776
123	5.205051738
124	5.200170124
125	5.193563734
126	5.18984537
127	5.185060321
128	5.17723095
129	5.168011099
130	5.16132841
131	5.156430677
132	5.151533448
133	5.143808825
134	5.140851438
135	5.135504279
136	5.131660451
137	5.126876371
138	5.119586739
139	5.114307328
140	5.113872217
141	5.109357382
142	5.105094724
143	5.100175847
144	5.09506666
145	5.090780276
146	5.088157678
147	5.085516388
148	5.080528755
149	5.072044774
150	5.068968352
151	5.066360552
152	5.064257868
153	5.060121898
154	5.055486442
155	5.050508043
156	5.046470745
157	5.040850699
158	5.038575362
159	5.035379501
160	5.031998659
161	5.026413307
