iter	Passed	Remaining
0	1	108
1	2	107
2	3	103
3	4	99
4	5	103
5	6	102
6	7	102
7	8	99
8	9	97
9	10	97
10	11	95
11	12	94
12	13	93
13	15	92
14	16	91
15	17	89
16	18	88
17	19	86
18	20	85
19	21	84
20	22	85
21	23	84
22	24	83
23	25	81
24	26	80
25	27	79
26	28	77
27	29	76
28	30	75
29	31	74
30	33	73
31	33	71
32	34	70
33	35	69
34	36	68
35	37	67
36	38	66
37	39	65
38	40	64
39	41	62
40	42	61
41	44	60
42	45	59
43	45	58
44	47	57
45	48	56
46	48	55
47	49	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	48
54	57	47
55	59	46
56	60	45
57	61	44
58	61	43
59	63	42
60	64	41
61	65	40
62	66	38
63	67	38
64	70	37
65	71	36
66	73	36
67	74	34
68	76	34
69	77	33
70	79	32
71	80	31
72	82	30
73	83	29
74	84	28
75	86	27
76	87	26
77	90	25
78	91	24
79	92	23
80	93	21
81	95	20
82	96	19
83	97	18
84	99	17
85	100	16
86	101	15
87	117	15
88	118	14
89	119	13
90	121	11
91	122	10
92	123	9
93	125	7
94	126	6
95	128	5
96	130	4
97	131	2
98	132	1
99	133	0
